code,name,companyCode_code,controllingArea
50I2,ITOCHU Mexico /NYK,US50,USV3
50L1,Customs /NYK,US50,USV3
50L2,Legal /NYK,US50,USV3
50N1,Internal Audit /NYK,US50,USV3
50N2,Mobile Business,US50,USV3
50Q1,"P/R, Benefits&HR Adm",US50,USV3
50Q2,Fixed Assets/NYK,US50,USV3
50Q3,FCO Funds Control US,US50,USV3
50Q4,Overhead Alloc A/C,US50,USV3
50Q5,Tax Accting Balances,US50,USV3
50Q6,Head Office,US50,USV3
50Q7,Head Office General,US50,USV3
50Q8,PCC,US50,USV3
50S1,Info Sys (Comm)/NYK,US50,USV3
50S2,Info Sys (Phone)/NYK,US50,USV3
50S3,Info Sys (Comp)/NYK,US50,USV3
50S4,Information Sys /NYK,US50,USV3
50T1,Tax /NYK,US50,USV3
50V1,Enterprise Invest/NY,US50,USV3
50V2,Master Halco /NYK,US50,USV3
50V3,Joint Internet /NYK,US50,USV3
50V4,Development & Ven-Ex,US50,USV3
50V5,Capital Venture /NYK,US50,USV3
50XA,RS PR - AII,US50,USV3
50XB,RS PR - CTCA,US50,USV3
50XC,RS PR - DPF,US50,USV3
50XD,RS PR - IAA,US50,USV3
50XE,RS PR - IAAI,US50,USV3
50XF,RS PR - ICAI,US50,USV3
50XG,RS PR - ICREST,US50,USV3
50XH,RS PR - ICRI,US50,USV3
50XI,RS PR - IFAI,US50,USV3
50XJ,RS PR - IPU,US50,USV3
50XK,RS PR - REY,US50,USV3
50XL,RS PR - TEX,US50,USV3
50XX,RS PR - ADMIN,US50,USV3
50XZ,RS PR - ITC RS,US50,USV3
517B,Pulp Department,CA51,USV3
518A,Log Service/VCR,CA51,USV3
518B,Lumber/VCR,CA51,USV3
51A1,Acct/Fin Admin/VCR,CA51,USV3
51A2,Branch Admin/VCR,CA51,USV3
51F1,Funds Control/VCR,CA51,USV3
51G1,Branch Gen Mgr/VCR,CA51,USV3
51V1,Equity/VCR,CA51,USV3
521A,Textile /ITM1,MX52,USK4
522A,Plant Project /ITM1,MX52,USK4
522B,Power Project /ITM1,MX52,USK4
522C,CIPSA Invest/ Equity,MX52,USK4
523A,Metal NonFerrous/ITM,MX52,USK4
524A,Food Products /ITM1,MX52,USK4
524B,Animal Food /ITM1,MX52,USK4
526A,Chemicals 1 /ITM1,MX52,USK4
526B,Chemicals 2 /ITM1,MX52,USK4
527A,Gen. Merchandise/ITM,MX52,USK4
528A,Info & Commun /ITM1,MX52,USK4
52A1,Administration /ITM1,MX52,USK4
52F1,Finance /ITM1,MX52,USK4
52T1,Taxes /ITM1,MX52,USK4
IA3A,Tamaki Rice /ICR1,USIA,USV3
IA3B,Fresh Food,USIA,USV3
IA4A,Japanese Groceries /,USIA,USV3
IA4B,JGP-Misc,USIA,USV3
IA6A,Meat & Livestock/ICR,USIA,USV3
IA7A,Food Mktg & Dist/ICR,USIA,USV3
IA8A,Dairy /ICR1,USIA,USV3
IA9A,Prima /ICR1,USIA,USV3
IAA1,Acctg & Finance/ICR1,USIA,USV3
IAF1,Fund Control/Cap/ICR,USIA,USV3
IB3A,Domestic,USIB,USV3
IB4A,International,USIB,USV3
IB4B,RITO Partnership,USIB,USV3
IBA1,Administration,USIB,USV3
IBC1,Corp. Planning,USIB,USV3
IBE1,CEO Office,USIB,USV3
IBF1,Funds Control,USIB,USV3
IBR1,Risk Management,USIB,USV3
IBT1,Tax Department,USIB,USV3
IC1A,AHN Domestic,USIC,USV3
IC2A,AHN International,USIC,USV3
IC3A,Feed Ingredients/QTI,USIC,USV3
IC4A,Lab Services,USIC,USV3
IC5A,New Business Develop,USIC,USV3
ICA2,Administration /QTIA,USIC,USV3
ICF1,Funds Control /QTIA,USIC,USV3
ID3A,Mens Text  & Apparel,USID,USV3
ID3B,Men's Text/Appar/NYK,USID,USV3
ID3C,Vince Camuto /NYK,USID,USV3
ID3D,PE Shirt /NYK,USID,USV3
ID3E,Ryan Seacrest /NYK,USID,USV3
ID3F,State of Matter /NYK,USID,USV3
ID3G,Lands' End /NYK,USID,USV3
ID3H,Studio.R330,USID,USV3
ID3I,Gramicci,USID,USV3
ID4B,Textile & Apparel/NY,USID,USV3
ID4C,Brand Marketing #1,USID,USV3
ID4D,LeSportsac-NA /NYK,USID,USV3
ID4E,Brand Marketing #2,USID,USV3
ID4R,Advance Textile /NYK,USID,USV3
ID5A,JOOR,USID,USV3
ID5C,Industrial Textile,USID,USV3
IDA1,Business Dept,USID,USV3
IDF1,Fund Control,USID,USV3
IDI1,Information Systems,USID,USV3
IDL1,Lease Entry,USID,USV3
JAA1,ITAI,USJA,USV3
JB1A,Machinery Div /MTMI,MXJB,USK4
JB1B,SUS Division /MTMI,MXJB,USK4
JBA1,Administration /MTMI,MXJB,USK4
JC1A,MISC - VCR,CAJC,USV3
JC2A,MISC - TOR,CAJC,USV3
JCF1,MISC - ADM,CAJC,USV3
JDA1,ADMINISTRATIVE DEPT,USJD,USV3
JDB1,BUSINESS DEPT,USJD,USV3
